EmpID,ProjectID,DateFrom,DateTo
114,10,2011-07-02,2012-09-17
171,14,2016/04/11,2017/07/14
171,15,2016/04/11,2017/07/14
170,15,2009-01-10,2009-08-22
126,18,2017-05-01,2019-10-08
173,15,2016-03-04,2017-06-25
102,18,2017-10-18,2019-02-10
131,18,2008-06-20,2008-12-01
141,20,2011-01-14,2012-09-12
165,14,2020-06-15,2022-08-01
140,12,2019-07-05,2021-10-24
143,20,2009-06-20,2009-08-16
196,13,2009-08-29,2009-10-24
141,15,2011-03-24,2012-02-19
175,19,2009-07-09,2009-09-09
115,17,2020-10-30,2023-07-21
161,18,2015-10-14,2017-12-17
134,19,2014-04-27,2014-09-20
190,12,2018-10-30,2019-03-03
107,10,2011-07-02,2013-09-17
151,10,2020-09-09,2022-05-09
107,14,2011-07-02,2012-09-17
114,14,2011-07-02,2011-09-02
